414136214464507904	Not Available
408689283965284352	Not Available
415366191566188544	Not Available
399880215268450304	Not Available
403613755428192256	@cityofdenver, been driving/sliding all around town today. Great job with the #de-icer, #sarcasm
408003719716802561	This. This is the news that matters: http://t.co/94dMdzIFjY #sarcasm
418144947121160193	Not Available
420570634557865984	@empressivegeek LOL, you guys are lawyers right? No loss. #Sarcasm or #IsIt?
405676682071130113	Not Available
417544956228956160	Not Available
404975928310112257	The start of another super busy week. So pumped. #Sarcasm
415295527240994817	Not Available
412444921782480896	Thanks for texting me back 6 hours ago Jesse. #sarcasm
420561060840894464	I'm gonna start knitting again.. Because it's not like I have anything else to do.. #sarcasm
410615963445239808	@MikeHenriksen @RyanDeal_AAN maybe someone should turn the Sully Buttes coach in for bullying. #sarcasm
420769897795182592	didnt realize #NBA referees were so fluent in russian! #sarcasm #дебилы
399671085957779456	My favorite commercial is on: Indoor Swapmeet of Stanton.

Talk about a well done commercial. #Sarcasm
405536153152925696	Well hello depression, nice to see ya again.. didn't think you'd stay away much longer.. :(
#sarcasm
408719797887565824	According to @twitter everyone knows Nelson Mandela has passed. Waiting for #espnbreakingnews to report this tomorrow #sarcasm
403258203384709120	Not Available
411924918561804288	You gotta love it when exes stay connected to YOUR friends on social media after the relationship is over...on all levels. #sarcasm
402589706913058816	Not Available
401383207595036672	Not Available
419926923792633856	@WLKY think you can make the school closing crawl any bigger? #sarcasm
410160794304012289	"@AsaWinstanley: Breaking: revolutionary Tweeters discover entirely convincing evidence Sy Hersh is secretly on the Assad payroll. #sarcasm"
399888469100478464	Not Available
408029534542249984	Not Available
406139736026537984	nothing beats coming home to an empty house and no food 😔 #sarcasm #feedme
403672752722567168	Not Available
399340025453625344	Not Available
413496465076416512	Not Available
411314539070636032	You didn't build that. The government did. #sarcasm #government http://t.co/ZA21ooaCL9
400742311446863872	Not Available
402903445998272513	Not Available
410169763835310080	@LetsSetTheWorld I wish life was as perfect as that class. #Sarcasm
420276707073880064	Not Available
417785700616900608	Not Available
409443067297808384	@abpriddy 
None of that matters anymore since the B12 got the big tv contract! #sarcasm
415508742374195200	Never woulda guessed the high school roof fell off...no wayy #sarcasm
410509967095906304	.@Hngring4Truth I guess the saying is once you go Gay u r always Gay #sarcasm @Wooflepup @thai_bill
403570561600983040	Not Available
410832584906510338	Former WTAE sports anchor John Meyer says Saban to Texas is a "done deal" #Sarcasm
399164360527839233	@CrazyDiabloO @walix85 how unselfish of you! You are one of the few good people. #SARCASM
414895981453656064	Not Available
412215132996243457	@MorganSLShaw And guess who's paying for it all! Yup, that's right, Mr and Mrs Taxpayer, you and me! Wahey! #sarcasm
